"species","lon","lat"
"piaya_therma","-87.95166714","13.27768947"
"piaya_therma","-86.20166704","11.94435606"
"piaya_therma","-91.493334","14.65268955"
"piaya_therma","-86.78500041","13.31935614"
"piaya_therma","-91.70166735","14.69435622"
"piaya_therma","-90.36833394","20.19435652"
"piaya_therma","-77.7849999","8.319355859"
"piaya_therma","-89.36833389","15.48602293"
"piaya_therma","-94.9933342","16.98602301"
"piaya_therma","-96.11833426","19.19435647"
"piaya_therma","-88.61833384","13.36102281"
"piaya_therma","-90.36833394","17.27768969"
"piaya_therma","-83.28500021","8.402689197"
"piaya_therma","-80.16000004","8.361022528"
"piaya_therma","-84.86833363","10.23602263"
"piaya_therma","-89.28500055","18.02768974"
"piaya_therma","-80.03500003","8.569355873"
"piaya_therma","-85.95166703","11.86102272"
"piaya_therma","-79.57666667","8.986022563"
"piaya_therma","-94.16000082","17.61102305"
"piaya_therma","-99.57666779","22.27768997"
"piaya_therma","-82.95166686","8.819355887"
"piaya_therma","-98.86833442","21.44435659"
"piaya_therma","-95.20166755","17.98602307"
"piaya_therma","-88.4100005","18.36102309"
"piaya_therma","-95.82666758","17.81935639"
"piaya_therma","-85.82666702","11.52768937"
"piaya_therma","-84.20166693","14.52768954"
"piaya_therma","-79.40999999","9.152689239"
"piaya_therma","-84.07666692","14.65268955"
"piaya_therma","-96.2016676","18.98602312"
"piaya_therma","-81.07666675","8.527689204"
"piaya_therma","-90.36833394","15.48602293"
"piaya_therma","-77.6599999","7.819355831"
"piaya_therma","-89.32666722","18.11102307"
"piaya_therma","-87.82666713","13.27768947"
"piaya_therma","-99.45166778","22.15268997"
"piaya_therma","-85.36833366","10.77768933"
"piaya_therma","-88.07666715","13.31935614"
"piaya_therma","-95.03500087","17.19435636"
"piaya_therma","-85.86833369","13.11102279"
"piaya_therma","-99.1600011","23.06935669"
"piaya_therma","-87.45166711","15.69435627"
"piaya_therma","-89.03500053","17.69435638"
"piaya_therma","-88.74333385","19.77768983"
"piaya_therma","-96.49333428","18.19435641"
"piaya_therma","-89.70166724","19.48602315"
"piaya_therma","-79.57666667","8.902689225"
"piaya_therma","-87.24333377","15.44435626"
"piaya_therma","-83.91000025","10.19435596"
"piaya_therma","-98.99333442","21.40268993"
"piaya_therma","-89.11833387","15.98602296"
"piaya_therma","-88.36833383","13.27768947"
"piaya_therma","-92.61833407","15.40268959"
"piaya_therma","-89.03500053","13.40268948"
"piaya_therma","-83.74333357","10.56935599"
"piaya_therma","-99.41000111","22.52768999"
"piaya_therma","-82.99333353","8.819355887"
"piaya_therma","-84.86833363","10.36102264"
"piaya_therma","-78.70166662","9.069355901"
"piaya_therma","-83.32666688","8.402689197"
"piaya_therma","-84.32666694","10.98602268"
"piaya_therma","-85.95166703","13.7776895"
"piaya_therma","-86.45166706","15.44435626"
